gene_id	gene_name	gene_type	bp_length
ENSG00000162711.16	NLRP3	protein_coding	4757
ENSG00000169224.12	GCSAML	protein_coding	4680
ENSG00000162722.8	TRIM58	protein_coding	3225
ENSG00000238243.3	OR2W3	protein_coding	945
ENSG00000196071.4	OR2L13	protein_coding	1692
ENSG00000259823.5	LYPD8	protein_coding	2237
ENSG00000175137.10	SH3BP5L	protein_coding	6442
ENSG00000171161.12	ZNF672	protein_coding	3741
ENSG00000171163.15	ZNF692	protein_coding	3929
ENSG00000185220.11	PGBD2	protein_coding	3651
ENSG00000261456.5	TUBB8	protein_coding	2981
ENSG00000015171.19	ZMYND11	protein_coding	5300
ENSG00000180525.11	PRR26	protein_coding	9247
ENSG00000151240.16	DIP2C	protein_coding	8563
ENSG00000107929.14	LARP4B	protein_coding	12836
ENSG00000107937.18	GTPBP4	protein_coding	6540
ENSG00000148377.5	IDI2	protein_coding	1359
ENSG00000067064.10	IDI1	protein_coding	3589
ENSG00000047056.14	WDR37	protein_coding	5656
ENSG00000185736.15	ADARB2	protein_coding	10513
ENSG00000067057.16	PFKP	protein_coding	4836
ENSG00000107959.15	PITRM1	protein_coding	6979
ENSG00000067082.14	KLF6	protein_coding	6139
ENSG00000165568.17	AKR1E2	protein_coding	2417
ENSG00000187134.13	AKR1C1	protein_coding	8765
ENSG00000151632.17	AKR1C2	protein_coding	6461
ENSG00000196139.13	AKR1C3	protein_coding	4532
ENSG00000178473.6	UCN3	protein_coding	1200
ENSG00000178462.11	TUBAL3	protein_coding	1798
ENSG00000173848.18	NET1	protein_coding	4175
ENSG00000178372.7	CALML5	protein_coding	859
ENSG00000178363.4	CALML3	protein_coding	2763
ENSG00000196372.12	ASB13	protein_coding	3003
ENSG00000108021.19	FAM208B	protein_coding	10960
ENSG00000057608.16	GDI2	protein_coding	4033
ENSG00000134461.15	ANKRD16	protein_coding	3059
ENSG00000134452.19	FBXO18	protein_coding	6676
ENSG00000134470.20	IL15RA	protein_coding	3634
ENSG00000134460.15	IL2RA	protein_coding	3176
ENSG00000134453.15	RBM17	protein_coding	6419
ENSG00000170525.19	PFKFB3	protein_coding	6114
ENSG00000065675.14	PRKCQ	protein_coding	3295
ENSG00000198879.11	SFMBT2	protein_coding	9953
ENSG00000123243.14	ITIH5	protein_coding	14628
ENSG00000151655.18	ITIH2	protein_coding	3378
ENSG00000151657.11	KIN	protein_coding	6844
ENSG00000165629.19	ATP5C1	protein_coding	2326
ENSG00000165632.7	TAF3	protein_coding	4872
ENSG00000107485.15	GATA3	protein_coding	3253
ENSG00000048740.18	CELF2	protein_coding	10978
ENSG00000148429.14	USP6NL	protein_coding	14202
ENSG00000134463.14	ECHDC3	protein_coding	2185
ENSG00000148426.12	PROSER2	protein_coding	3663
ENSG00000151461.19	UPF2	protein_coding	5906
ENSG00000181192.11	DHTKD1	protein_coding	5281
ENSG00000065665.20	SEC61A2	protein_coding	3916
ENSG00000165609.12	NUDT5	protein_coding	4969
ENSG00000151465.13	CDC123	protein_coding	2404
ENSG00000183049.12	CAMK1D	protein_coding	8762
ENSG00000151468.10	CCDC3	protein_coding	3683
ENSG00000123240.16	OPTN	protein_coding	5138
ENSG00000065328.16	MCM10	protein_coding	5454
ENSG00000165623.9	UCMA	protein_coding	829
ENSG00000107537.13	PHYH	protein_coding	3381
ENSG00000086475.14	SEPHS1	protein_coding	3888
ENSG00000165626.16	BEND7	protein_coding	9815
ENSG00000165630.13	PRPF18	protein_coding	1865
ENSG00000282246.1	RP11-295P9.13	protein_coding	2179
ENSG00000151474.21	FRMD4A	protein_coding	13328
ENSG00000065809.13	FAM107B	protein_coding	7019
ENSG00000185267.9	CDNF	protein_coding	1733
ENSG00000284024.1	RP11-398C13.8	protein_coding	2528
ENSG00000187522.14	HSPA14	protein_coding	4287
ENSG00000152455.15	SUV39H2	protein_coding	3565
ENSG00000152457.17	DCLRE1C	protein_coding	6326
ENSG00000197889.9	MEIG1	protein_coding	1407
ENSG00000152463.14	OLAH	protein_coding	2364
ENSG00000176244.6	ACBD7	protein_coding	1498
ENSG00000152464.14	RPP38	protein_coding	1930
ENSG00000152465.17	NMT2	protein_coding	4700
ENSG00000148468.16	FAM171A1	protein_coding	3955
ENSG00000077943.7	ITGA8	protein_coding	7528
ENSG00000148481.13	MINDY3	protein_coding	4094
ENSG00000165983.14	PTER	protein_coding	4003
ENSG00000165985.9	C1QL3	protein_coding	2493
ENSG00000148484.17	RSU1	protein_coding	4191
ENSG00000107611.14	CUBN	protein_coding	13168
ENSG00000107614.21	TRDMT1	protein_coding	10535
ENSG00000026025.15	VIM	protein_coding	5158
ENSG00000148488.15	ST8SIA6	protein_coding	2627
ENSG00000165996.13	HACD1	protein_coding	3857
ENSG00000136738.14	STAM	protein_coding	3246
ENSG00000148483.8	TMEM236	protein_coding	5464
ENSG00000260314.2	MRC1	protein_coding	5198
ENSG00000148482.11	SLC39A12	protein_coding	2808
ENSG00000165995.18	CACNB2	protein_coding	6537
ENSG00000241058.3	NSUN6	protein_coding	3498
ENSG00000165997.4	ARL5B	protein_coding	7196
ENSG00000204740.10	MALRD1	protein_coding	7781
ENSG00000120594.16	PLXDC2	protein_coding	12567
ENSG00000078114.18	NEBL	protein_coding	13654
ENSG00000204682.5	CASC10	protein_coding	3801
ENSG00000180592.16	SKIDA1	protein_coding	6700
ENSG00000078403.16	MLLT10	protein_coding	6945
ENSG00000136770.10	DNAJC1	protein_coding	2501
ENSG00000223601.2	EBLN1	protein_coding	1208
ENSG00000148444.15	COMMD3	protein_coding	3317
ENSG00000269897.5	COMMD3-BMI1	protein_coding	1904
ENSG00000168283.13	BMI1	protein_coding	4283
ENSG00000077327.15	SPAG6	protein_coding	3887
ENSG00000150867.13	PIP4K2A	protein_coding	5088
ENSG00000165309.13	ARMC3	protein_coding	6999
ENSG00000148450.12	MSRB2	protein_coding	2052
ENSG00000179133.12	C10orf67	protein_coding	6227
ENSG00000165312.6	OTUD1	protein_coding	2933
ENSG00000120549.17	KIAA1217	protein_coding	10807
ENSG00000107863.17	ARHGAP21	protein_coding	10937
ENSG00000099256.18	PRTFDC1	protein_coding	2329
ENSG00000185875.12	THNSL1	protein_coding	3788
ENSG00000151023.16	ENKUR	protein_coding	4076
ENSG00000151025.9	GPR158	protein_coding	7726
ENSG00000095777.14	MYO3A	protein_coding	8188
ENSG00000077420.15	APBB1IP	protein_coding	3981
ENSG00000148459.15	PDSS1	protein_coding	1955
ENSG00000136754.16	ABI1	protein_coding	4218
ENSG00000107890.16	ANKRD26	protein_coding	7941
ENSG00000136758.18	YME1L1	protein_coding	7335
ENSG00000120539.14	MASTL	protein_coding	3631
ENSG00000107897.18	ACBD5	protein_coding	4371
ENSG00000182077.10	PTCHD3	protein_coding	2529
ENSG00000099246.16	RAB18	protein_coding	6223
ENSG00000150051.13	MKX	protein_coding	4106
ENSG00000169126.15	ARMC4	protein_coding	4773
ENSG00000150054.18	MPP7	protein_coding	6167
ENSG00000095787.21	WAC	protein_coding	12188
ENSG00000095739.10	BAMBI	protein_coding	2314
ENSG00000120563.8	LYZL1	protein_coding	1132
ENSG00000197321.14	SVIL	protein_coding	9937
ENSG00000165757.8	KIAA1462	protein_coding	9515
ENSG00000107951.14	MTPAP	protein_coding	8382
ENSG00000107968.9	MAP3K8	protein_coding	3601
ENSG00000151033.8	LYZL2	protein_coding	818
ENSG00000183621.15	ZNF438	protein_coding	4267
ENSG00000148516.21	ZEB1	protein_coding	8650
ENSG00000165322.17	ARHGAP12	protein_coding	5938
ENSG00000170759.10	KIF5B	protein_coding	5877
ENSG00000120616.15	EPC1	protein_coding	11286
ENSG00000216937.13	CCDC7	protein_coding	9573
ENSG00000150093.18	ITGB1	protein_coding	6011
ENSG00000099250.17	NRP1	protein_coding	11522
ENSG00000148498.15	PARD3	protein_coding	6513
ENSG00000108094.14	CUL2	protein_coding	5147
ENSG00000095794.19	CREM	protein_coding	5699
ENSG00000108100.17	CCNY	protein_coding	5743
ENSG00000177283.7	FZD8	protein_coding	4030
ENSG00000148513.17	ANKRD30A	protein_coding	5015
ENSG00000198105.13	ZNF248	protein_coding	7289
ENSG00000175395.15	ZNF25	protein_coding	4244
ENSG00000189180.15	ZNF33A	protein_coding	7523
ENSG00000075407.18	ZNF37A	protein_coding	13190
ENSG00000283930.1	RP11-508N22.2	protein_coding	3955
ENSG00000196693.14	ZNF33B	protein_coding	8307
ENSG00000165733.7	BMS1	protein_coding	7753
ENSG00000165731.18	RET	protein_coding	6911
ENSG00000169826.7	CSGALNACT2	protein_coding	3730
ENSG00000198915.11	RASGEF1A	protein_coding	6073
ENSG00000150201.14	FXYD4	protein_coding	827
ENSG00000169813.16	HNRNPF	protein_coding	3253
ENSG00000243660.9	ZNF487	protein_coding	4976
ENSG00000196793.13	ZNF239	protein_coding	2509
ENSG00000198298.12	ZNF485	protein_coding	2397
ENSG00000169740.13	ZNF32	protein_coding	1436
ENSG00000277288.3	C10orf142	protein_coding	1714
ENSG00000107562.16	CXCL12	protein_coding	6077
ENSG00000187783.11	TMEM72	protein_coding	3157
ENSG00000165507.8	C10orf10	protein_coding	2979
ENSG00000107551.20	RASSF4	protein_coding	9481
ENSG00000165512.4	ZNF22	protein_coding	2551
ENSG00000256574.6	OR13A1	protein_coding	2174
ENSG00000012779.10	ALOX5	protein_coding	3730
ENSG00000165406.15	MARCH8	protein_coding	7539
ENSG00000172671.19	ZFAND4	protein_coding	6232
ENSG00000172661.17	WASHC2C	protein_coding	5702
ENSG00000188234.13	AGAP4	protein_coding	3474
ENSG00000265354.3	TIMM23	protein_coding	1222
ENSG00000266412.5	NCOA4	protein_coding	4079
ENSG00000263639.5	MSMB	protein_coding	492
ENSG00000274209.4	ANTXRL	protein_coding	3101
ENSG00000204174.7	NPY4R	protein_coding	1956
ENSG00000264230.7	ANXA8L1	protein_coding	7179
ENSG00000204175.5	GPRIN2	protein_coding	1968
ENSG00000204176.13	SYT15	protein_coding	7158
ENSG00000204179.10	PTPN20	protein_coding	4506
ENSG00000266524.2	GDF10	protein_coding	2458
ENSG00000265203.1	RBP3	protein_coding	4276
ENSG00000265763.3	ZNF488	protein_coding	3496
ENSG00000265190.6	ANXA8	protein_coding	4955
ENSG00000204172.12	AGAP9	protein_coding	2387
ENSG00000277758.4	ABC7-42404400C24.1	protein_coding	5526
ENSG00000264717.5	CH17-360D5.1	protein_coding	1956
ENSG00000276430.2	FAM25C	protein_coding	319
ENSG00000170324.20	FRMPD2	protein_coding	8791
ENSG00000107643.15	MAPK8	protein_coding	9629
ENSG00000128805.14	ARHGAP22	protein_coding	6783
ENSG00000165383.11	LRRC18	protein_coding	1617
ENSG00000128815.19	WDFY4	protein_coding	13678
ENSG00000165633.12	VSTM4	protein_coding	8633
ENSG00000204161.13	C10orf128	protein_coding	4123
ENSG00000177354.11	C10orf71	protein_coding	5411
ENSG00000165606.8	DRGX	protein_coding	2890
ENSG00000225830.12	ERCC6	protein_coding	16737
ENSG00000187714.6	SLC18A3	protein_coding	2420
ENSG00000197444.9	OGDHL	protein_coding	5724
ENSG00000227345.8	PARG	protein_coding	5129
ENSG00000204152.10	TIMM23B	protein_coding	3056
ENSG00000204149.10	AGAP6	protein_coding	3160
ENSG00000099290.15	WASHC2A	protein_coding	5159
ENSG00000188611.14	ASAH2	protein_coding	6985
ENSG00000198964.13	SGMS1	protein_coding	6429
ENSG00000204147.9	ASAH2B	protein_coding	6467
ENSG00000148584.14	A1CF	protein_coding	9603
ENSG00000177613.8	CSTF2T	protein_coding	4105
ENSG00000185532.15	PRKG1	protein_coding	7507
ENSG00000107984.9	DKK1	protein_coding	2206
ENSG00000150275.17	PCDH15	protein_coding	15357
ENSG00000122952.16	ZWINT	protein_coding	2378
ENSG00000151151.5	IPMK	protein_coding	6133
ENSG00000122873.11	CISD1	protein_coding	2857
ENSG00000072401.14	UBE2D1	protein_coding	3486
ENSG00000108064.10	TFAM	protein_coding	5606
ENSG00000122870.11	BICC1	protein_coding	6569
ENSG00000165443.11	PHYHIPL	protein_coding	4093
ENSG00000148541.12	FAM13C	protein_coding	6753
ENSG00000165449.11	SLC16A9	protein_coding	4429
ENSG00000227877.6	MRLN	protein_coding	2941
ENSG00000108091.10	CCDC6	protein_coding	7345
ENSG00000151150.21	ANK3	protein_coding	25614
ENSG00000170312.15	CDK1	protein_coding	3931
ENSG00000072422.16	RHOBTB1	protein_coding	4841
ENSG00000196932.11	TMEM26	protein_coding	6907
ENSG00000183346.6	C10orf107	protein_coding	1685
ENSG00000150347.14	ARID5B	protein_coding	8164
ENSG00000182010.10	RTKN2	protein_coding	9548
ENSG00000138311.15	ZNF365	protein_coding	9073
ENSG00000181915.4	ADO	protein_coding	3627
ENSG00000122877.15	EGR2	protein_coding	3689
ENSG00000148572.15	NRBF2	protein_coding	1901
ENSG00000171988.18	JMJD1C	protein_coding	11066
ENSG00000165476.13	REEP3	protein_coding	5248
ENSG00000198739.10	LRRTM3	protein_coding	4650
ENSG00000183230.16	CTNNA3	protein_coding	11136
ENSG00000108176.14	DNAJC12	protein_coding	2121
ENSG00000096717.11	SIRT1	protein_coding	4551
ENSG00000148634.15	HERC4	protein_coding	15847
ENSG00000138347.15	MYPN	protein_coding	7060
ENSG00000179774.8	ATOH7	protein_coding	1480
ENSG00000108187.15	PBLD	protein_coding	5172
ENSG00000096746.17	HNRNPH3	protein_coding	5373
ENSG00000204130.12	RUFY2	protein_coding	8137
ENSG00000138346.14	DNA2	protein_coding	4867
ENSG00000122912.14	SLC25A16	protein_coding	7815
ENSG00000138336.8	TET1	protein_coding	9288
ENSG00000060339.13	CCAR1	protein_coding	6059
ENSG00000165730.14	STOX1	protein_coding	3568
ENSG00000107625.12	DDX50	protein_coding	2692
ENSG00000165732.12	DDX21	protein_coding	5020
ENSG00000198954.7	KIF1BP	protein_coding	5454
ENSG00000122862.4	SRGN	protein_coding	1220
ENSG00000122958.14	VPS26A	protein_coding	3565
ENSG00000156502.13	SUPV3L1	protein_coding	4283
ENSG00000156510.12	HKDC1	protein_coding	4259
ENSG00000156515.21	HK1	protein_coding	6073
ENSG00000075073.14	TACR2	protein_coding	2871
ENSG00000099282.9	TSPAN15	protein_coding	2646
ENSG00000122859.4	NEUROG3	protein_coding	1376
ENSG00000171224.8	C10orf35	protein_coding	1349
ENSG00000197467.13	COL13A1	protein_coding	5761
ENSG00000099284.13	H2AFY2	protein_coding	1980
ENSG00000042286.14	AIFM2	protein_coding	5135
ENSG00000156521.13	TYSND1	protein_coding	4597
ENSG00000079332.14	SAR1A	protein_coding	6914
ENSG00000180817.11	PPA1	protein_coding	5171
ENSG00000148734.7	NPFFR1	protein_coding	8921
ENSG00000172731.13	LRRC20	protein_coding	3625
ENSG00000148730.6	EIF4EBP2	protein_coding	7257
ENSG00000156574.9	NODAL	protein_coding	1693
ENSG00000107719.8	PALD1	protein_coding	4555
ENSG00000180644.7	PRF1	protein_coding	2534
ENSG00000138316.10	ADAMTS14	protein_coding	5269
ENSG00000166224.16	SGPL1	protein_coding	7486
ENSG00000166228.8	PCBD1	protein_coding	1614
ENSG00000107731.12	UNC5B	protein_coding	6841
ENSG00000198246.7	SLC29A3	protein_coding	2684
ENSG00000214688.5	C10orf105	protein_coding	4933
ENSG00000107738.19	VSIR	protein_coding	5128
ENSG00000107736.19	CDH23	protein_coding	18059
ENSG00000197746.13	PSAP	protein_coding	3239
ENSG00000122863.5	CHST3	protein_coding	6970
ENSG00000107742.12	SPOCK2	protein_coding	6569
ENSG00000138303.17	ASCC1	protein_coding	5586
ENSG00000166295.8	ANAPC16	protein_coding	4324
ENSG00000168209.4	DDIT4	protein_coding	2058
ENSG00000148719.14	DNAJB12	protein_coding	5649
ENSG00000107745.17	MICU1	protein_coding	3846
ENSG00000156026.14	MCU	protein_coding	4533
ENSG00000138315.12	OIT3	protein_coding	2365
ENSG00000122884.12	P4HA1	protein_coding	3093
ENSG00000166321.13	NUDT13	protein_coding	2521
ENSG00000122882.10	ECD	protein_coding	3687
ENSG00000138286.14	FAM149B1	protein_coding	7473
ENSG00000213551.4	DNAJC9	protein_coding	3955
ENSG00000182180.13	MRPS16	protein_coding	2794
ENSG00000156042.17	CFAP70	protein_coding	7428
ENSG00000138279.15	ANXA7	protein_coding	2862
ENSG00000166343.9	MSS51	protein_coding	2423
ENSG00000107758.15	PPP3CB	protein_coding	5094
ENSG00000166348.18	USP54	protein_coding	9498
ENSG00000177791.11	MYOZ1	protein_coding	1541
ENSG00000166317.11	SYNPO2L	protein_coding	5147
ENSG00000172650.13	AGAP5	protein_coding	3115
ENSG00000176986.15	SEC24C	protein_coding	5341
ENSG00000196968.10	FUT11	protein_coding	4910
ENSG00000172586.7	CHCHD1	protein_coding	1483
ENSG00000214655.10	ZSWIM8	protein_coding	7953
ENSG00000272916.5	RP11-574K11.31	protein_coding	5818
ENSG00000166507.17	NDST2	protein_coding	4654
ENSG00000148660.20	CAMK2G	protein_coding	6780
ENSG00000122861.15	PLAU	protein_coding	2950
ENSG00000222047.8	C10orf55	protein_coding	2514
ENSG00000035403.17	VCL	protein_coding	9992
ENSG00000185009.12	AP3M1	protein_coding	5912
ENSG00000156110.13	ADK	protein_coding	3184
ENSG00000156650.12	KAT6B	protein_coding	13400
ENSG00000079393.20	DUSP13	protein_coding	2351
ENSG00000156671.12	SAMD8	protein_coding	7316
ENSG00000165637.13	VDAC2	protein_coding	2827
ENSG00000165644.10	COMTD1	protein_coding	1580
ENSG00000165655.16	ZNF503	protein_coding	3347
ENSG00000148655.14	C10orf11	protein_coding	6560
ENSG00000156113.22	KCNMA1	protein_coding	35644
ENSG00000151208.16	DLG5	protein_coding	10271
ENSG00000148606.12	POLR3A	protein_coding	8917
ENSG00000138326.18	RPS24	protein_coding	4880
ENSG00000108175.16	ZMIZ1	protein_coding	11048
ENSG00000108179.13	PPIF	protein_coding	2674
ENSG00000165424.6	ZCCHC24	protein_coding	5051
ENSG00000253626.3	EIF5AL1	protein_coding	3840
ENSG00000185303.16	SFTPA2	protein_coding	2690
ENSG00000122852.14	SFTPA1	protein_coding	2451
ENSG00000188199.10	NUTM2B	protein_coding	5080
ENSG00000228570.7	NUTM2E	protein_coding	3625
ENSG00000133661.15	SFTPD	protein_coding	1321
ENSG00000133678.13	TMEM254	protein_coding	2996
ENSG00000189129.13	PLAC9	protein_coding	1240
ENSG00000122359.17	ANXA11	protein_coding	8513
ENSG00000151224.12	MAT1A	protein_coding	3690
ENSG00000170788.13	DYDC1	protein_coding	1237
ENSG00000133665.12	DYDC2	protein_coding	2465
ENSG00000122378.13	FAM213A	protein_coding	6520
ENSG00000108219.14	TSPAN14	protein_coding	17888
ENSG00000178217.13	SH2D4B	protein_coding	4363
ENSG00000185737.12	NRG3	protein_coding	5072
ENSG00000165678.20	GHITM	protein_coding	2128
ENSG00000188373.4	C10orf99	protein_coding	888
ENSG00000148600.14	CDHR1	protein_coding	7633
ENSG00000148604.13	RGR	protein_coding	4256
ENSG00000107771.15	CCSER2	protein_coding	8424
ENSG00000182771.18	GRID1	protein_coding	5927
ENSG00000062650.17	WAPL	protein_coding	7280
ENSG00000122375.11	OPN4	protein_coding	2456
ENSG00000122367.19	LDB3	protein_coding	6676
ENSG00000107779.13	BMPR1A	protein_coding	11412
ENSG00000173267.13	SNCG	protein_coding	1247
ENSG00000173269.13	MMRN2	protein_coding	5334
ENSG00000148671.13	ADIRF	protein_coding	998
ENSG00000188100.8	FAM25A	protein_coding	345
ENSG00000148672.8	GLUD1	protein_coding	3519
ENSG00000122376.11	FAM35A	protein_coding	4242
ENSG00000184923.12	NUTM2A	protein_coding	5082
ENSG00000214562.14	NUTM2D	protein_coding	6985
ENSG00000107789.15	MINPP1	protein_coding	3016
ENSG00000198682.12	PAPSS2	protein_coding	4083
ENSG00000138138.13	ATAD1	protein_coding	5067
ENSG00000227268.3	KLLN	protein_coding	4277
ENSG00000171862.10	PTEN	protein_coding	11581
ENSG00000184719.11	RNLS	protein_coding	3933
ENSG00000204022.9	LIPJ	protein_coding	4528
ENSG00000182333.14	LIPF	protein_coding	2348
ENSG00000204021.3	LIPK	protein_coding	1230
ENSG00000173239.13	LIPM	protein_coding	1511
ENSG00000152766.5	ANKRD22	protein_coding	1733
ENSG00000138134.11	STAMBPL1	protein_coding	6323
ENSG00000107796.13	ACTA2	protein_coding	2976
ENSG00000026103.21	FAS	protein_coding	4253
ENSG00000138135.6	CH25H	protein_coding	1686
ENSG00000119922.9	IFIT2	protein_coding	4101
ENSG00000119917.13	IFIT3	protein_coding	2640
ENSG00000185745.9	IFIT1	protein_coding	4613
ENSG00000107798.17	LIPA	protein_coding	4910
ENSG00000152778.8	IFIT5	protein_coding	4015
ENSG00000152779.13	SLC16A12	protein_coding	4835
ENSG00000152782.16	PANK1	protein_coding	7638
ENSG00000138182.14	KIF20B	protein_coding	6851
ENSG00000148680.15	HTR7	protein_coding	3131
ENSG00000148688.13	RPP30	protein_coding	4653
ENSG00000148677.6	ANKRD1	protein_coding	1979
ENSG00000180628.14	PCGF5	protein_coding	8306
ENSG00000165338.16	HECTD2	protein_coding	11550
ENSG00000119938.8	PPP1R3C	protein_coding	2524
ENSG00000107854.5	TNKS2	protein_coding	6157
ENSG00000174721.9	FGFBP3	protein_coding	2545
ENSG00000095564.13	BTAF1	protein_coding	7582
ENSG00000107864.14	CPEB3	protein_coding	7928
ENSG00000198060.9	MARCH5	protein_coding	4632
ENSG00000119912.15	IDE	protein_coding	7607
ENSG00000138160.5	KIF11	protein_coding	4860
ENSG00000152804.10	HHEX	protein_coding	2525
ENSG00000138190.16	EXOC6	protein_coding	6193
ENSG00000095596.11	CYP26A1	protein_coding	2972
ENSG00000138119.16	MYOF	protein_coding	8473
ENSG00000138180.15	CEP55	protein_coding	3271
ENSG00000138207.13	RBP4	protein_coding	1449
ENSG00000186188.10	FFAR4	protein_coding	4060
ENSG00000095464.9	PDE6C	protein_coding	3310
ENSG00000148690.11	FRA10AC1	protein_coding	8142
ENSG00000108231.12	LGI1	protein_coding	11108
ENSG00000176273.14	SLC35G1	protein_coding	6829
ENSG00000138193.15	PLCE1	protein_coding	12930
ENSG00000173145.11	NOC3L	protein_coding	4464
ENSG00000108239.8	TBC1D12	protein_coding	6921
ENSG00000119969.14	HELLS	protein_coding	10148
ENSG00000108242.12	CYP2C18	protein_coding	2418
ENSG00000276490.1	RP11-400G3.5	protein_coding	2395
ENSG00000138109.9	CYP2C9	protein_coding	3036
ENSG00000138115.13	CYP2C8	protein_coding	2571
ENSG00000173124.14	ACSM6	protein_coding	2807
ENSG00000107438.8	PDLIM1	protein_coding	2239
ENSG00000095637.21	SORBS1	protein_coding	10819
ENSG00000059573.8	ALDH18A1	protein_coding	3766
ENSG00000119977.20	TCTN3	protein_coding	3223
ENSG00000138185.18	ENTPD1	protein_coding	6975
ENSG00000270099.1	RP11-248J23.7	protein_coding	492
ENSG00000188649.12	CC2D2B	protein_coding	6494
ENSG00000107443.15	CCNJ	protein_coding	4148
ENSG00000177853.14	ZNF518A	protein_coding	10891
ENSG00000095585.16	BLNK	protein_coding	3655
ENSG00000095587.8	TLL2	protein_coding	8151
ENSG00000077147.14	TM9SF3	protein_coding	7095
ENSG00000155629.14	PIK3AP1	protein_coding	5691
ENSG00000196233.12	LCOR	protein_coding	26042
ENSG00000187122.16	SLIT1	protein_coding	9103
ENSG00000269891.2	ARHGAP19-SLIT1	protein_coding	4089
ENSG00000213390.10	ARHGAP19	protein_coding	6167
ENSG00000165879.8	FRAT1	protein_coding	2649
ENSG00000181274.6	FRAT2	protein_coding	2213
ENSG00000052749.13	RRP12	protein_coding	8529
ENSG00000171314.8	PGAM1	protein_coding	2568
ENSG00000171311.12	EXOSC1	protein_coding	3345
ENSG00000171307.18	ZDHHC16	protein_coding	3078
ENSG00000155229.20	MMS19	protein_coding	5849
ENSG00000165886.4	UBTD1	protein_coding	1706
ENSG00000165887.11	ANKRD2	protein_coding	1451
ENSG00000241935.8	HOGA1	protein_coding	4148
ENSG00000171160.17	MORN4	protein_coding	2512
ENSG00000249967.1	RP11-548K23.11	protein_coding	1848
ENSG00000155252.13	PI4K2A	protein_coding	4189
ENSG00000119986.6	AVPI1	protein_coding	1457
ENSG00000155254.12	MARVELD1	protein_coding	3379
ENSG00000155256.17	ZFYVE27	protein_coding	3899
ENSG00000120057.4	SFRP5	protein_coding	1836
ENSG00000155265.10	GOLGA7B	protein_coding	6458
ENSG00000095713.13	CRTAC1	protein_coding	3553
ENSG00000166024.13	R3HCC1L	protein_coding	3571
ENSG00000138131.3	LOXL4	protein_coding	3653
ENSG00000119943.12	PYROXD2	protein_coding	3867
ENSG00000107521.18	HPS1	protein_coding	5301
ENSG00000172987.12	HPSE2	protein_coding	4421
ENSG00000119946.10	CNNM1	protein_coding	6413
ENSG00000120053.10	GOT1	protein_coding	2424
ENSG00000119919.10	NKX2-3	protein_coding	2097
ENSG00000155287.10	SLC25A28	protein_coding	1755
ENSG00000198018.6	ENTPD7	protein_coding	3657
ENSG00000014919.12	COX15	protein_coding	4177
ENSG00000119929.12	CUTC	protein_coding	1806
ENSG00000023839.10	ABCC2	protein_coding	6232
ENSG00000107554.16	DNMBP	protein_coding	8461
ENSG00000107566.13	ERLIN1	protein_coding	5792
ENSG00000213341.10	CHUK	protein_coding	6928
ENSG00000095485.16	CWF19L1	protein_coding	3985
ENSG00000196072.11	BLOC1S2	protein_coding	2943
ENSG00000107593.16	PKD2L1	protein_coding	3065
ENSG00000099194.5	SCD	protein_coding	5362
ENSG00000075290.7	WNT8B	protein_coding	2112
ENSG00000075826.16	SEC31B	protein_coding	7938
ENSG00000255339.6	RP11-411B6.6	protein_coding	2139
ENSG00000166136.15	NDUFB8	protein_coding	1999
ENSG00000166135.13	HIF1AN	protein_coding	13950
ENSG00000075891.21	PAX2	protein_coding	6243
ENSG00000119906.11	SLF2	protein_coding	9131
ENSG00000095539.15	SEMA4G	protein_coding	5253
ENSG00000055950.16	MRPL43	protein_coding	3573
ENSG00000107815.7	TWNK	protein_coding	3508
ENSG00000107816.17	LZTS2	protein_coding	6547
ENSG00000186862.17	PDZD7	protein_coding	5821
ENSG00000107819.13	SFXN3	protein_coding	4631
ENSG00000107821.14	KAZALD1	protein_coding	3613
ENSG00000107807.12	TLX1	protein_coding	3421
ENSG00000138136.6	LBX1	protein_coding	2900
ENSG00000166167.17	BTRC	protein_coding	6613
ENSG00000166169.16	POLL	protein_coding	5420
ENSG00000166171.12	DPCD	protein_coding	1718
ENSG00000107829.13	FBXW4	protein_coding	5038
ENSG00000107833.10	NPM3	protein_coding	928
ENSG00000198408.13	MGEA5	protein_coding	7247
ENSG00000120049.18	KCNIP2	protein_coding	3294
ENSG00000120029.12	C10orf76	protein_coding	4747
ENSG00000166189.7	HPS6	protein_coding	2649
ENSG00000198728.10	LDB1	protein_coding	2790
ENSG00000148840.10	PPRC1	protein_coding	6095
ENSG00000166197.16	NOLC1	protein_coding	3970
ENSG00000119915.4	ELOVL3	protein_coding	1371
ENSG00000107862.4	GBF1	protein_coding	6641
ENSG00000077150.18	NFKB2	protein_coding	4484
ENSG00000059915.16	PSD	protein_coding	6338
ENSG00000107872.12	FBXL15	protein_coding	2593
ENSG00000107874.10	CUEDC2	protein_coding	1412
ENSG00000120055.7	C10orf95	protein_coding	1469
ENSG00000138111.14	MFSD13A	protein_coding	3526
ENSG00000138107.12	ACTR1A	protein_coding	4654
ENSG00000107882.11	SUFU	protein_coding	6865
ENSG00000171206.13	TRIM8	protein_coding	2916
ENSG00000138175.8	ARL3	protein_coding	3844
ENSG00000156398.12	SFXN2	protein_coding	8034
ENSG00000166272.16	WBP1L	protein_coding	4281
ENSG00000148795.6	CYP17A1	protein_coding	3445
ENSG00000166275.15	BORCS7	protein_coding	2708
